orden,id,universidad,miembros,banda,contacto_previo,fuente,brazo
166,unlp019,UNLP,165,grande,no,Comunidades,dx-ab-imagen-control
167,utn034,UTN,159,grande,no,Grupos,dx-ab-imagen-tratamiento
168,utn085,UTN,479,grande,si,Grupos,dx-ab-imagen-tratamiento
169,uba048,UBA,49,chico,no,Grupos,dx-ab-imagen-control
170,uba143,UBA,45,chico,si,Grupos,dx-ab-imagen-control
171,uba211,UBA,191,grande,no,Comunidades,dx-ab-imagen-tratamiento
172,uba251,UBA,429,grande,si,Comunidades,dx-ab-imagen-tratamiento
173,unlp023,UNLP,69,chico,no,Comunidades,dx-ab-imagen-control
174,unlp038,UNLP,184,grande,no,Comunidades,dx-ab-imagen-tratamiento
175,utnba006,UTN,960,grande,no,Comunidades,dx-ab-imagen-control
176,utn049,UTN,346,grande,si,Grupos,dx-ab-imagen-control
177,uba013,UBA,45,chico,no,Grupos,dx-ab-imagen-tratamiento
178,uba184,UBA,44,chico,si,Grupos,dx-ab-imagen-tratamiento
179,uba214,UBA,391,grande,no,Comunidades,dx-ab-imagen-control
180,uba070,UBA,113,grande,si,Grupos,dx-ab-imagen-control
181,unlp040,UNLP,270,grande,no,Comunidades,dx-ab-imagen-control
182,utn011,UTN,270,grande,no,Grupos,dx-ab-imagen-tratamiento
183,utn052,UTN,298,grande,si,Grupos,dx-ab-imagen-tratamiento
184,uba050,UBA,43,chico,no,Grupos,dx-ab-imagen-control
185,uba175,UBA,41,chico,si,Grupos,dx-ab-imagen-control
186,uba205,UBA,145,grande,no,Comunidades,dx-ab-imagen-tratamiento
187,uba200,UBA,980,grande,si,Grupos,dx-ab-imagen-tratamiento
188,unlp022,UNLP,121,grande,no,Comunidades,dx-ab-imagen-tratamiento
189,utn081,UTN,543,grande,si,Grupos,dx-ab-imagen-control
190,uba282,UBA,51,chico,no,Comunidades,dx-ab-imagen-tratamiento
191,uba150,UBA,80,chico,si,Grupos,dx-ab-imagen-tratamiento
192,uba255,UBA,136,grande,no,Comunidades,dx-ab-imagen-control
193,uba253,UBA,286,grande,si,Comunidades,dx-ab-imagen-control
194,unlp003,UNLP,267,grande,no,Grupos,dx-ab-imagen-control
195,utn003,UTN,262,grande,si,Comunidades,dx-ab-imagen-tratamiento
196,uba022,UBA,42,chico,no,Grupos,dx-ab-imagen-control
197,uba077,UBA,47,chico,si,Grupos,dx-ab-imagen-control
198,uba108,UBA,834,grande,si,Comunidades,dx-ab-imagen-tratamiento
199,utn030,UTN,365,grande,si,Grupos,dx-ab-imagen-control
200,uba218,UBA,43,chico,no,Comunidades,dx-ab-imagen-tratamiento
201,uba078,UBA,101,chico,si,Grupos,dx-ab-imagen-tratamiento
202,uba222,UBA,384,grande,si,Comunidades,dx-ab-imagen-control
203,utn008,UTN,418,grande,si,Grupos,dx-ab-imagen-tratamiento
204,uba167,UBA,61,chico,no,Grupos,dx-ab-imagen-control
205,uba139,UBA,50,chico,si,Grupos,dx-ab-imagen-control
